QMS审核时间表,,,,EMS审核时间表,,,OHSMS审核时间表,,
有效人数,高风险,中风险,低风险,高风险,中风险,低风险,高风险,中风险,低风险
15人,3,2.5,2,4.5,3.5,3,4.5,3.5,3
16人,3,2.5,2,4.5,3.5,3,4.5,3.5,3
17人,3.06,2.56,2.06,4.61,3.61,3.06,4.61,3.61,3.06
18人,3.11,2.61,2.11,4.72,3.72,3.11,4.72,3.72,3.11
19人,3.17,2.67,2.17,4.83,3.83,3.17,4.83,3.83,3.17
20人,3.22,2.72,2.22,4.94,3.94,3.22,4.94,3.94,3.22
21人,3.28,2.78,2.28,5.06,4.06,3.28,5.06,4.06,3.28
22人,3.33,2.83,2.33,5.17,4.17,3.33,5.17,4.17,3.33
23人,3.39,2.89,2.39,5.28,4.28,3.39,5.28,4.28,3.39
24人,3.44,2.94,2.44,5.39,4.39,3.44,5.39,4.39,3.44
25人,3.5,3,2.5,5.5,4.5,3.5,5.5,4.5,3.5
26人,3.5,3,2.5,5.5,4.5,3.5,5.5,4.5,3.5
27人,3.55,3.05,2.55,5.58,4.55,3.53,5.58,4.55,3.53
28人,3.61,3.11,2.61,5.66,4.61,3.55,5.66,4.61,3.55
29人,3.66,3.16,2.66,5.74,4.66,3.58,5.74,4.66,3.58
30人,3.71,3.21,2.71,5.82,4.71,3.61,5.82,4.71,3.61
31人,3.76,3.26,2.76,5.89,4.76,3.63,5.89,4.76,3.63
32人,3.82,3.32,2.82,5.97,4.82,3.66,5.97,4.82,3.66
33人,3.87,3.37,2.87,6.05,4.87,3.68,6.05,4.87,3.68
34人,3.92,3.42,2.92,6.13,4.92,3.71,6.13,4.92,3.71
35人,3.97,3.47,2.97,6.21,4.97,3.74,6.21,4.97,3.74
36人,4.03,3.53,3.03,6.29,5.03,3.76,6.29,5.03,3.76
37人,4.08,3.58,3.08,6.37,5.08,3.79,6.37,5.08,3.79
38人,4.13,3.63,3.13,6.45,5.13,3.82,6.45,5.13,3.82
39人,4.18,3.68,3.18,6.53,5.18,3.84,6.53,5.18,3.84
