大类,大类名称,中类,中类名称,小类,分类名称,分类内容说明
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.01,谷物（稻米除外），豆科作物和油籽作物的种植,"本小类包括在大田中所有形式的谷物、豆科作物和油籽作物的 种植。这些作物的种植时常在农业单元中组合出现。
本小类包括：                                                        ——谷物的种植，如：小麦；玉米；高梁；大麦；黑麦；燕麦；小米；其他未另分类谷物。
——豆科作物的种植，如：豆子；蚕豆；鹰嘴豆；豇豆；扁外），豆科作 豆；羽扇豆；豌豆；木豆；其他豆科作物。
——油籽作物的种植，如：大豆；花生；蓖麻子；亚麻籽； 物的种植 芥菜籽；皂角籽；油菜籽；红花籽；芝麻籽；葵花籽；其他油籽。
本小类不包括：
——稻米的种植，见 01.01.02；                                         ——甜玉米的种植，见 01.01.03；                                    ——饲料玉米的种植，见 01.01.07；                                        ——含油果实的种植，见 01.02.06。"
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.02,稻米的种植,
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.03,蔬菜和瓜类、块根和块茎类作物的种植,"本小类包括：
——叶和茎类蔬菜的种植，如：洋蓟；芦笋；卷心菜；花椰
菜和西兰花；莴苣和菊苣；菠菜；其他叶或茎类蔬菜。
——果实类蔬菜的种植，如：黄瓜及小黄瓜；茄子；西红柿；
西瓜；哈密瓜；其他瓜类及果类蔬菜。
——根、鳞茎和块茎类蔬菜的种植，如：胡萝卜；大头菜；
大蒜；洋葱（包括青葱）；韭菜及其他蒜味蔬菜；其他根茎、球茎和块茎类蔬菜。
——蘑菇和块菌的种植；
——蔬菜种子的种植，包括糖用甜菜种子，不包含其他甜菜
种子；
——糖用甜菜的种植；
——其他蔬菜的种植；
——根茎和块茎的种植，如：土豆；红薯；木薯；山药；其
他根茎和块茎。
本小类不包括：
——辣椒、胡椒和其他调味料与香料的种植，见 01.02.08：
——蘑菇菌种的培植，见 01.03.00。"
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.04,甘蔗的种植,"本小类不包括：
——糖用甜菜的种植，见 01.01.03。"
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.05,烟草的种植,"本小类不包括：
——烟草制品的制造，见 03.11.00。"
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.06,纤维作物的种植,"本小类包括：
——棉花的种植；
——黄麻、洋麻及其他纺织用韧皮纤维的种植；
——亚麻和大麻的种植；
——剑麻及其他龙舌兰类纺织纤维的种植；
——蕉麻、苎麻及其他纺织用植物纤维的种植；
——其他纤维作物的种植。"
01,农业、林业和渔业,01.01,非多年生作物的种植,01.01.07,其他非多年生作物的种植," 本小类包括所有其他非多年生作物的种植：
 ——瑞典甘蓝、饲料甜菜、饲料根、苜蓿、紫花苜蓿、红豆草、饲料玉米和其他牧草、饲料甘蓝以及类似饲料产品的种植；
 ——甜菜种子（糖用甜菜籽除外）及饲料植物种子的种植；
 ——鲜花的种植； 
 ——插花和花蕾的生产； 
 ——花卉种子的种植。 
本小类不包括： 
 ——非多年生调味品、芳香植物、药品和制药作物的种植，见 01.02.08。 "
01,农业、林业和渔业,01.02,多年生作物的种植,01.02.01,葡萄的种植,"本小类包括： 
——葡萄园中酿酒葡萄和食用葡萄的种植。
本小类不包括： 
——葡萄酒的制造，见 03.10.02。"
01,农业、林业和渔业,01.02,多年生作物的种植,01.02.02,热带和亚热带水果的种植," 本小类包括：  
 ——热带和亚热带水果的种植：鳄梨；香蕉和大蕉；海枣；
无花果；芒果；木瓜；菠萝；其他热带和亚热带水果。"
01,农业、林业和渔业,01.02,多年生作物的种植,01.02.03,柑橘类水果的种植," 本小类包括： 
 ——柑橘类水果的种植：葡萄柚和柚子；柠檬和酸橙；橙子；
 柑橘和克莱门氏小柑橘；其他柑橘类水果。"
