代码,QMS分级,EMS分级,OHSMS分级
01.01.01,2,2,2
01.01.02,2,2,2
01.01.03,2,2,2
01.01.04,2,2,2
01.01.05,2,2,2
01.01.06,2,2,2
01.01.07,2,2,2
01.02.01,2,2,2
01.02.02,2,2,2
01.02.03,2,2,2
01.02.04,2,2,2
01.02.05,2,2,2
01.02.06,2,2,2
01.02.07,2,2,2
01.02.08,2,2,2
01.02.09,2,2,2
01.03.00,2,2,2
01.04.01,2,2,2
01.04.02,2,2,2
01.04.03,2,2,2
01.04.04,2,2,2
01.04.05,2,2,2
01.04.06,2,2,2
01.04.07,2,2,2
01.04.08,2,2,2
01.05.00,2,2,2
01.06.01,2,3,2
01.06.02,2,3,2
01.06.03,2,3,2
01.06.04,2,3,2
01.07.00,2,2,1
01.08.00,2,2,2
01.09.00,2,2,2
01.10.00,2,2,2
01.11.00,2,2,2
01.12.01,1,2,1
01.12.02,1,2,1
01.13.01,2,2,2
01.13.02,2,2,2
02.01.00,1,1,1
02.02.00,1,1,1
02.03.00,2,1,1
02.04.00,2,1,1
02.05.00,2,1,1
02.06.01,1,1,1
02.06.02,2,1,1
02.07.01,2,2,1
02.07.02,2,2,1
02.08.01,1,1,1
02.08.02,1,1,2
02.08.03,1,1,2
02.08.04,2,1,2
02.09.00,2,1,2
02.10.00,2,1,2
03.01.01,1,1,1
03.01.02,1,1,1
03.01.03,1,1,2
03.02.00,1,1,2
03.03.01,1,2,2
03.03.02,1,2,2
03.03.03,1,2,2
03.04.01,1,2,2
03.04.02,1,2,2
03.05.01,1,2,2
03.05.02,1,2,2
03.06.01,1,2,2
03.06.02,1,2,2
03.07.01,1,2,2
03.07.02,1,2,2
03.07.03,1,2,2
03.08.01,1,2,2
03.08.02,1,2,2
03.08.03,1,2,2
03.08.04,1,2,2
03.08.05,1,2,2
03.08.06,1,2,2
03.08.07,1,2,2
03.09.01,1,2,2
03.09.02,1,2,2
03.10.01,1,1,2
03.10.02,1,1,2
03.10.03,1,1,2
03.10.04,1,1,2
03.10.05,1,1,2
03.10.06,2,1,2
03.10.07,1,1,2
03.11.00,2,2,2
04.01.00,3,2,2
04.02.00,3,2,2
04.03.00,3,1,2
04.04.01,3,2,2
04.04.02,3,2,2
04.04.03,3,2,2
04.04.04,3,2,2
04.04.05,3,2,2
04.04.06,3,2,2
04.04.07,3,2,2
04.05.01,3,2,2
04.05.02,3,2,2
04.05.03,3,2,2
04.05.04,3,2,2
04.05.05,3,2,2
04.06.00,3,2,2
04.07.01,3,2,2
04.07.02,3,2,2
05.01.01,2,1,1
05.01.02,3,1,2
05.02.00,2,2,2
06.01.00,2,2,2
06.02.01,2,2,2
06.02.02,2,2,2
06.02.03,2,2,2
06.02.04,2,2,2
06.02.05,2,2,2
07.01.01,3,1,1
07.01.02,3,1,1
07.02.01,3,2,2
